Brasil;Brazil
Suíça;Suissa
Suíça;Suiça
Suíça;Suíssa
acerca;àcerca
acólito;acólico
adivinhar;advinhar
administrador;admnistrador
administradora;admnistradora
administradoras;admnistradoras
administradores;admnistradores
administrar;admnistrar
administração;admnistração
ajuizar;ajuisar
alcoolemia;alcoolémia
alcoólica;alcólica
alcoólicas;alcólicas
alcoólico;alcólico
alcoólicos;alcólicos
aldeão;aldião
ameaça;amiaça
ameixial;ameixeal
analisar;analizar
andaste;andáste
ansioso;ancioso
antepor;antepôr
antárctico;antartico
antárctico;antártico
anémona;anemona
aparte;apárte
apeadeiro;apiadeiro
apear;apiar
argelino;algerino
arrasar;arrazar
artífice;artifice
ascensão;ascenção
assessor;acessor
asterisco;asterístico
aversão;averção
avisar;avizar
avulso;avulsso
açoriano;açoreano
açúcar;acucar
açúcar;assucar
açúcar;assúcar
açúcar;açucar
bainha;baínha
bancarrota;banca-rota
bandeja;bandeija
bebé;bébé
bege;beige
belém;belem
bem-vinda;benvinda
bem-vindo;benvindo
beneficente;beneficiente
beneficência;beneficiência
boas-vindas;boasvindas
burburinho;borborinho
bênção;benção
bússola;bussula
cabo-verdiano:cabo-verdeano
calcário;calcáreo
calvície;calvíce
calçado;calsado
camoniano;camoneano
campeão;campião
carácter;caracter
caracteres;caractéres
catequese;catequeze
catequizador;catequisador
catequizar;catequisar
chafariz;xafariz
cidadãos;cidadães
cidadãos;cidadões
cinquenta;cincoenta
cinzeiro;cinseiro
colisão;coalizão
com certeza;concerteza
comboio;combóio
compor;compôr
constituiu;constituíu
constituía;constituia
contacto;contato
cor;côr
coração;corassão
corsário;corçario
corsário;corçário
crânio;crâneo
côdea:côdia
definido;defenido
definir;defenir
definição;defenição
deixe;deiche
desequilíbrio;desiquilíbreo
desequilíbrio;desiquilíbrio
despender;dispender
despretensiosa;despretenciosa
despretensioso;despretencioso
dificuldade;dificulidade
digladiar;degladiar
disenteria;desinteria
displicência;desplicência
dispêndio;despendio
dispêndio;despêndio
dispêndio;dispendio
distribuído;distribuido
druida;druída
défice;deficite
ecrã;ecran
ecrã;écran
ecrã;écrã
emirados;emiratos
empecilho;impecilho
engolir;engulir
engoliste;engolis-te
engoliste;enguliste
entretenimento;entreterimento
entretido;entertido
entretido;intertido
entretive-me;entreti-me
equilíbrio;iquilíbreo
equilíbrio;iquilíbrio
escavar;excavar
escavação;excavação
escrivães;escrivões
esdrúxula;exdrúxula
esdrúxulas;exdrúxulas
esquisito;esquesito
esquisito;exquisito
esquisito;isquesito
estava;tava
esteja;esteje
estende;extende
estender;extender
estou;tou
excluir;escluir
exclusão;esclusão
far-lhe-iam;fariam-lhe
faça;fassa
feminino;femenino
feminismo;femininismo
fizemos;fizémos
fizeste;fizes-te
flor;flôr
foram;forão
formalizar;formalisar
foro;fôro
foste;fos-te
fragrância;fragância
francês;françês
frustrado;frustado
furar;furá
fécula;fecula
fêmea;fémea
gineceu;geneceu
glicemia;glicémia
gorjeta;gorgeta
granjear;grangear
gratuito;gratuíto
gratuito;gratúito
guisar;guizar
gás;gaz
gás;gáz
habitual;abitual
haste;aste
hectare;hectar
herói;erói
hesitar;exitar
higiene;igiene
higiénico;igienico
higiénico;igiénico
hilaridade;hilariedade
hipopótamo;ipopótamo
hoje;oje
homem;omem
horta;orta
hélice;elice
hélice;élice
igreja;igreija
igreja;ingreja
iguaçu;iguasu
ilação;ilacção
incesto;incêsto
inclusive;inclusivé
indignado;indiguinado
indignar;indiguinar
indignação;indiguinação
indispensáveis;indespensáveis
indispensável;indespensável
inflação;inflacção
intenção;intensão
intitular;entitular
inverosímil;inverosímel
invólucro;envólucro
iogurte;iorgute
isqueiro;esqueiro
jeito;geito
jeropiga;geropiga
juiz;juíz
juniores;júniores
jus;juz
juíza;juiza
lagartixa;largartixa
lagarto;largarto
lampião;lampeão
leucemia;leucémia
licença;licensa
linguista;linguísta
lisonjear;lisongear
lojista;logista
lêem;lêm
maciço;massisso
maciço;massiço
majestade;magestade
manjerico;mangerico
manjerona;mangerona
manteiga;mantega
mantém-se;mantem-se
mantêm-se;manteem-se
mercearia;merciaria
metralhadora;metrelhadora
ministro;menistro
miscigenação;miscegenação
misoginia;misogenia
misógino;misogeno
misógino;misógeno
mortadela;mortandela
muito;muinto
nonagésimo;nonagessimo
nonagésimo;nonagéssimo
obsessão;obcessão
oficina;ofecina
ontem;hontem
opróbrio;opróbio
opróbrio;opóbrio
organizar;organisar
organograma;organigrama
paralisado;paralizado
paralisar;paralizar
paralisação;paralização
paraste;paráste
paul;paúl
pega;pêga
pequeno;piqueno
peras;pêras
perseverança;preserverança
perturbar;pertubar
peru;perú
período;periodo
período;priúdo
pirenéus;pirinéus
prazeroso;prazeiroso
precariedade;precaridade
precisar;precizar
pretensiosa;pretenciosa
pretensioso;pretencioso
privilegiada;priveligeada
privilegiada;priveligiada
privilegiado;priveligeado
privilegiado;priveligiado
privilégio;previlégio
problema;poblema
problema;pobrema
proibido;proibído
proibido;proíbido
propriedade;propiedade
prostituta;prustituta
própria;própia
próprio;propio
próprio;própio
pudermos;poder-mos
pudermos;pudérmos
pudesse;pude-se
pudesse;pudésse
pus;pús
pusemos;pusémos
quadricromia;quadricomia
quadruplicado;quadriplicado
quaisquer;quaisqueres
quer-se;quere-se
quere-a;quer-a
quere-o;quer-o
quilo;kilo
quilograma;kilograma
quilogramas;kilogramas
quilómetro;kilómetro
quilómetros;kilómetros
quiser;quizer
quiseram;quizeram
quisesse;quizesse
quisessem;quizessem
quiseste;quises-te
quota-parte;cota-parte
rainha;raínha
raiz;raíz
rasar;razar
raul;raúl
raízes;raizes
regurgitar;regurjitar
reivindicar;reinvidicar
reivindicação;reinvidicação
rejeitar;regeitar
requer-se;requere-se
requere-a;requer-a
requere-o;requer-o
requisito;requesito
restabelecer;reestabelecer
restabelecer;restablecer
retaguarda;rectaguarda
ruborizar;ruborisar
rubrica;rúbrica
rédea;rédia
réstia;réstea
saem;saiem
saloiice;saloice
salsicha;salchicha
salsichas;salchichas
salve-rainha;salve-raínha
salve-rainha;salvé-rainha
salve-rainha;salvé-raínha
salve;salvé
sarjeta;sargeta
seiscentos;seissentos
seja;seija
seja;seje
semear;semiar
seniores;séniores
setecentos;setessentos
sicrano;ciclano
sicrano;cicrano
sicrano;siclano
sincero;cinsero
sobrancelha;sombracelha
sobrancelha;sombrancelha
sobrancelhas;sombrancelhas
somaste;somáste
suavizar;suavisar
substituído;substituido
suficiente;sufciente
suficiente;sufeciente
supor;supôr
suíças;suissas
suíças;suiças
suíças;suíssas
suíço;suisso
suíço;suiço
suíço;suísso
suíços;suissos
suíços;suiços
suíços;suíssos
tabeliães;tabeliões
tainha;taínha
também;tambem
também;tanbem
também;tanbém
telemóvel;telemovel
telemóvel;telémovel
torácico;toráxico
transpor;transpôr
transporte;trasnporte
têm;têem
umbigo;imbigo
vaivém:vai-vem
ventoinha;ventoínha
verosímil;verosímel
vigilante;vegilante
vigilância;vegilância
viseense;visiense
você;voçe
você;voçê
voo;vôo
vídeo;video
vírus;virus
xadrez;xadrês
xelindró;xilindró
xexé;xéxé
xícara;chícara
zaire;zaíre
zepelim;zepelin
zepelim;zeppelim
zepelim;zeppelin
ziguezague;zig-zag
zoar;zuar
zoo;zoô
zoo;zôo
zunzum;zum-zum
Índia;India
áfrica;africa
álbum;album
álcool;alcól
álcool;álcol
árctico;arctico
árctico;ártico
ípsilon;ipsilon
ípsilon;ipslon
órfão;orfão
órgão;orgão
